Goal,X,Y,C,Distance,Angle
0,28.0,53,3.0,29.46459740094882,0.24664752235410065
0,29.0,47,3.0,30.512374538865373,0.23829209884521543
0,25.0,51,1.0,26.258046385822386,0.276906479649689
0,6.0,37,13.0,10.540042694410682,0.44102340262668716
0,11.0,50,0.0,11.55,0.6137460607827115
0,26.0,63,13.0,28.577832318074794,0.2438204823769422
1,6.0,48,2.0,6.432728814430155,1.025372627090774
0,14.0,34,16.0,18.006943105369107,0.33324589215754935
0,8.0,36,14.0,12.384264209067894,0.41390377024114655
1,12.0,47,3.0,12.75,0.5537770359226951
0,25.0,51,1.0,26.258046385822386,0.276906479649689
0,18.0,36,14.0,20.976653689280376,0.3135852959459952
0,4.0,39,11.0,8.292315719990405,0.5068860882826424
0,10.0,35,15.0,14.3287298809071,0.380925130447818
0,11.0,58,8.0,12.66658991204815,0.5218037806113346
0,6.0,43,7.0,7.771261158911081,0.7759378875324093
0,24.0,31,19.0,28.063543967218397,0.23391253649325264
0,5.0,45,5.0,6.174544517614234,0.999009718781405
0,11.0,41,9.0,12.947007376224052,0.5014474542557615
0,7.0,33,17.0,13.271209439986997,0.3193088176827172
0,20.0,32,18.0,24.039342753078753,0.26586779578711206
0,22.0,49,1.0,23.10914321215739,0.31403211774890216
0,14.0,46,4.0,14.928161306738348,0.47457492357511266
0,14.0,74,24.0,21.4347848134755,0.23671253284616733
0,22.0,50,0.0,23.1,0.31427070504979715
0,7.0,55,5.0,8.036479328661276,0.8102769720462943
0,9.0,61,11.0,11.850105484762572,0.49865017428260083
0,9.0,66,16.0,14.052135069091813,0.35947975315199954
0,19.0,49,1.0,19.960586163737776,0.3625178205706539
0,20.0,25,25.0,26.553013011709236,0.21869132647796993
0,21.0,20,30.0,29.435565223042687,0.18699834742802035
0,7.0,66,16.0,12.735089320456296,0.34697519319792164
0,19.0,60,10.0,20.98219483276237,0.3296328129599388
0,9.0,28,22.0,17.14037630858786,0.2418706622612818
0,18.0,49,1.0,18.911173945580426,0.38214120816966374
0,30.0,41,9.0,32.03860952038961,0.22379124762309097
0,15.0,54,4.0,15.96316071459534,0.4455153283895856
0,22.0,66,16.0,25.3331798240963,0.26286752707765737
0,21.0,25,25.0,27.39096566388268,0.21563719358950292
0,13.0,67,17.0,17.562032911938186,0.32654703564538545
0,10.0,36,14.0,13.894603268895446,0.40423785554982494
1,10.0,32,18.0,15.720687007888682,0.31768371181991284
1,7.0,53,3.0,7.604275113381945,0.8805236779631288
0,46.0,31,19.0,49.853911581740505,0.14205987899007932
0,10.0,66,16.0,14.778700890132395,0.35868342997638314
0,13.0,65,15.0,16.77453427073312,0.3568783542073093
1,4.0,57,7.0,6.192132104533947,0.8891188201608188
0,19.0,32,18.0,23.127743080551546,0.2730351404249318
0,15.0,65,15.0,18.523633552842703,0.3363632929170542
0,25.0,23,27.0,31.576336076245454,0.1929108206275765
0,9.0,69,19.0,15.550723455839602,0.29404598468395515
0,13.0,49,1.0,13.665467427058616,0.5228832076788991
0,14.0,40,10.0,16.072958657322552,0.413920005768173
0,14.0,46,4.0,14.928161306738348,0.47457492357511266
0,20.0,25,25.0,26.553013011709236,0.21869132647796993
0,11.0,75,25.0,19.936524270795047,0.21667629414887685
0,3.0,38,12.0,8.412044935685971,0.38217689414903444
0,12.0,79,29.0,22.673387484008646,0.18216870189748754
0,26.0,76,26.0,32.10763149159402,0.1939298730862372
0,13.0,31,19.0,18.407742936058185,0.2978805122246868
0,10.0,22,28.0,21.011663427725086,0.17764718360137735
0,16.0,58,8.0,17.586358349584486,0.3939004690139643
0,1.0,56,6.0,4.038873605350878,1.2080791347227346
0,26.0,49,1.0,27.307736998880006,0.26639593140038675
0,28.0,58,8.0,29.856322613476696,0.24037140820384412
0,10.0,47,3.0,10.679536506796538,0.6521383456057817
0,11.0,30,20.0,17.38972397710786,0.28459853384550277
0,11.0,50,0.0,11.55,0.6137460607827115
0,23.0,68,18.0,26.834911961845524,0.2451102032785123
0,7.0,45,5.0,8.036479328661276,0.8102769720462943
0,31.0,28,22.0,35.552672192115175,0.18826553887550457
0,22.0,29,21.0,26.83155791227934,0.23490672102192373
0,21.0,52,2.0,22.08828875218721,0.3278840633485634
0,13.0,37,13.0,16.05381574579701,0.3881962225284794
0,3.0,45,5.0,4.526035793053342,1.272510127702622
0,17.0,63,13.0,19.749050610092628,0.3339324098792254
0,5.0,62,12.0,9.40226036652889,0.4734809931229669
0,20.0,39,11.0,22.18383420421276,0.3107019491679012
0,20.0,53,3.0,21.090341391262495,0.34229622548457433
0,5.0,39,11.0,8.870456583513613,0.5320024734138117
0,6.0,70,20.0,14.446106741956465,0.23188804892968712
0,14.0,68,18.0,18.78776197422141,0.30686081917077107
0,17.0,28,22.0,22.87165276056805,0.250938916849828
0,24.0,33,17.0,27.516222487834334,0.2431141328477867
0,10.0,33,17.0,15.243113199081087,0.33759032764216496
0,14.0,40,10.0,16.072958657322552,0.413920005768173
0,13.0,46,4.0,13.895412912180769,0.5074894297819179
1,5.0,59,9.0,7.860343503944341,0.6711834202118175
0,5.0,65,15.0,11.073617295175051,0.33830271298288245
1,28.0,64,14.0,30.77612711177285,0.22651575948751368
0,23.0,28,22.0,28.06621634634779,0.22445498328352656
0,3.0,68,18.0,12.116620816052635,0.17113615211706518
0,7.0,32,18.0,13.817108959547216,0.29428099981910055
0,27.0,37,13.0,29.582511725680092,0.2363205341625181
0,24.0,52,2.0,25.233509466580347,0.28771963983932014
0,12.0,30,20.0,18.10414317221337,0.28538343785592213
0,14.0,41,9.0,15.821267332296738,0.42632836199012014
0,23.0,66,16.0,26.29415334252084,0.2550606567820898
0,14.0,73,23.0,20.966461313249788,0.24730657745765003
0,23.0,57,7.0,24.57488555415874,0.2908650574235321
0,23.0,56,6.0,24.462880043036634,0.29344235678198977
0,25.0,44,6.0,26.538132941109478,0.271268985883801
0,26.0,58,8.0,27.790825824361537,0.2574671749562088
